Altium Designer Pick and Place Locations
C:\Users\ultim\Documents\Altium\LEDCube_Rev2\Project Outputs for LEDCube_Rev2\Pick Place\Pick Place for Layer.csv

========================================================================================================================
File Design Information:

Date:       19/12/19
Time:       22:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C25","CAP0603_100nF_X7R","TopLayer","C0603","86.0000","10.0000","270","CAP0603 100nF X5R/X7R 25V"
"C24","CAP0603_100nF_X7R","TopLayer","C0603","74.0000","10.0000","270","CAP0603 100nF X5R/X7R 25V"
"C23","CAP0603_100nF_X7R","TopLayer","C0603","54.0000","10.0000","270","CAP0603 100nF X5R/X7R 25V"
"C22","CAP0603_100nF_X7R","TopLayer","C0603","34.0000","10.0000","270","CAP0603 100nF X5R/X7R 25V"
"C21","CAP0603_100nF_X7R","TopLayer","C0603","14.0000","10.0000","270","CAP0603 100nF X5R/X7R 25V"
"C20","CAP0603_100nF_X7R","TopLayer","C0603","14.0000","30.0000","270","CAP0603 100nF X5R/X7R 25V"
"C19","CAP0603_100nF_X7R","TopLayer","C0603","34.0000","30.0000","270","CAP0603 100nF X5R/X7R 25V"
"C18","CAP0603_100nF_X7R","TopLayer","C0603","54.0000","30.0000","270","CAP0603 100nF X5R/X7R 25V"
"C17","CAP0603_100nF_X7R","TopLayer","C0603","74.0000","30.0000","270","CAP0603 100nF X5R/X7R 25V"
"C16","CAP0603_100nF_X7R","TopLayer","C0603","86.0000","30.0000","270","CAP0603 100nF X5R/X7R 25V"
"C15","CAP0603_100nF_X7R","TopLayer","C0603","14.0000","50.0000","270","CAP0603 100nF X5R/X7R 25V"
"C14","CAP0603_100nF_X7R","TopLayer","C0603","34.0000","50.0000","270","CAP0603 100nF X5R/X7R 25V"
"C13","CAP0603_100nF_X7R","TopLayer","C0603","54.0000","50.0000","270","CAP0603 100nF X5R/X7R 25V"
"C12","CAP0603_100nF_X7R","TopLayer","C0603","74.0000","50.0000","270","CAP0603 100nF X5R/X7R 25V"
"C11","CAP0603_100nF_X7R","TopLayer","C0603","86.0000","50.0000","270","CAP0603 100nF X5R/X7R 25V"
"C10","CAP0603_100nF_X7R","TopLayer","C0603","14.0000","70.0000","270","CAP0603 100nF X5R/X7R 25V"
"C9","CAP0603_100nF_X7R","TopLayer","C0603","34.0000","70.0000","270","CAP0603 100nF X5R/X7R 25V"
"C8","CAP0603_100nF_X7R","TopLayer","C0603","54.0000","70.0000","270","CAP0603 100nF X5R/X7R 25V"
"C7","CAP0603_100nF_X7R","TopLayer","C0603","74.0000","70.0000","270","CAP0603 100nF X5R/X7R 25V"
"C6","CAP0603_100nF_X7R","TopLayer","C0603","86.0000","70.0000","270","CAP0603 100nF X5R/X7R 25V"
"C5","CAP0603_100nF_X7R","TopLayer","C0603","86.0000","90.0000","90","CAP0603 100nF X5R/X7R 25V"
"C4","CAP0603_100nF_X7R","TopLayer","C0603","74.0000","90.0000","90","CAP0603 100nF X5R/X7R 25V"
"C3","CAP0603_100nF_X7R","TopLayer","C0603","54.0000","90.0000","90","CAP0603 100nF X5R/X7R 25V"
"C2","CAP0603_100nF_X7R","TopLayer","C0603","34.0000","90.0000","90","CAP0603 100nF X5R/X7R 25V"
"C1","CAP0603_100nF_X7R","TopLayer","C0603","14.0000","90.0000","270","CAP0603 100nF X5R/X7R 25V"
"D25","WS2812B-Mini","TopLayer","WS2812B-3535","90.0000","10.0000","0","WS2812B-Mini 35x35mm"
"D24","WS2812B-Mini","TopLayer","WS2812B-3535","70.0000","10.0000","0","WS2812B-Mini 35x35mm"
"D23","WS2812B-Mini","TopLayer","WS2812B-3535","50.0000","10.0000","0","WS2812B-Mini 35x35mm"
"D22","WS2812B-Mini","TopLayer","WS2812B-3535","30.0000","10.0000","0","WS2812B-Mini 35x35mm"
"D21","WS2812B-Mini","TopLayer","WS2812B-3535","10.0000","10.0000","0","WS2812B-Mini 35x35mm"
"D20","WS2812B-Mini","TopLayer","WS2812B-3535","10.0000","30.0000","0","WS2812B-Mini 35x35mm"
"D19","WS2812B-Mini","TopLayer","WS2812B-3535","30.0000","30.0000","0","WS2812B-Mini 35x35mm"
"D18","WS2812B-Mini","TopLayer","WS2812B-3535","50.0000","30.0000","0","WS2812B-Mini 35x35mm"
"D17","WS2812B-Mini","TopLayer","WS2812B-3535","70.0000","30.0000","0","WS2812B-Mini 35x35mm"
"D16","WS2812B-Mini","TopLayer","WS2812B-3535","90.0000","30.0000","0","WS2812B-Mini 35x35mm"
"D15","WS2812B-Mini","TopLayer","WS2812B-3535","90.0000","50.0000","0","WS2812B-Mini 35x35mm"
"D14","WS2812B-Mini","TopLayer","WS2812B-3535","70.0000","50.0000","0","WS2812B-Mini 35x35mm"
"D13","WS2812B-Mini","TopLayer","WS2812B-3535","50.0000","50.0000","0","WS2812B-Mini 35x35mm"
"D12","WS2812B-Mini","TopLayer","WS2812B-3535","30.0000","50.0000","0","WS2812B-Mini 35x35mm"
"D11","WS2812B-Mini","TopLayer","WS2812B-3535","10.0000","50.0000","0","WS2812B-Mini 35x35mm"
"D10","WS2812B-Mini","TopLayer","WS2812B-3535","10.0000","70.0000","360","WS2812B-Mini 35x35mm"
"D9","WS2812B-Mini","TopLayer","WS2812B-3535","30.0000","70.0000","360","WS2812B-Mini 35x35mm"
"D8","WS2812B-Mini","TopLayer","WS2812B-3535","50.0000","70.0000","360","WS2812B-Mini 35x35mm"
"D7","WS2812B-Mini","TopLayer","WS2812B-3535","70.0000","70.0000","360","WS2812B-Mini 35x35mm"
"D6","WS2812B-Mini","TopLayer","WS2812B-3535","90.0000","70.0000","360","WS2812B-Mini 35x35mm"
"D5","WS2812B-Mini","TopLayer","WS2812B-3535","90.0000","90.0000","360","WS2812B-Mini 35x35mm"
"D4","WS2812B-Mini","TopLayer","WS2812B-3535","70.0000","90.0000","360","WS2812B-Mini 35x35mm"
"D3","WS2812B-Mini","TopLayer","WS2812B-3535","50.0000","90.0000","360","WS2812B-Mini 35x35mm"
"D2","WS2812B-Mini","TopLayer","WS2812B-3535","30.0000","90.0000","360","WS2812B-Mini 35x35mm"
"D1","WS2812B-Mini","TopLayer","WS2812B-3535","10.0000","90.0000","360","WS2812B-Mini 35x35mm"
